PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
31,"Aleksandrs Gafts",29,4698,2321,119441,"",10,4,1,117064
32,"Jāzeps Kozurs",24,4348,2045,119367,"",10,4,1,117064
1,"Ivans Klementjevs",1,8915,1239,46549,ievēlēts,10,4,2,38873
2,"Jānis Ādamsons",3,7689,1503,45059,ievēlēts,10,4,2,38873
3,"Juris Silovs",2,3275,1113,41035,ievēlēts,10,4,2,38873
4,"Aleksandrs Sakovskis",7,2975,1098,40750,ievēlēts,10,4,2,38873
5,"Viktors Jakovļevs",25,2396,1015,40254,"",10,4,2,38873
6,"Aleksandrs Kuļikovs",29,2331,1050,40154,"",10,4,2,38873
7,"Igors Kuzmuks",26,2402,1125,40150,"",10,4,2,38873
8,"Igors Solovjovs",28,2255,1153,39975,"",10,4,2,38873
9,"Inna Belokurova",17,2222,1171,39924,"",10,4,2,38873
10,"Elizabete Krivcova",8,2190,1200,39863,"",10,4,2,38873
11,"Mihails Rogals",15,2452,1462,39863,"",10,4,2,38873
12,"Jānis Garbovskis",9,2083,1208,39748,"",10,4,2,38873
13,"Vadims Savkovs",24,1964,1134,39703,"",10,4,2,38873
14,"Juris Bistrakovs",21,1873,1071,39675,"",10,4,2,38873
15,"Ivans Pihtovs",16,1947,1156,39664,"",10,4,2,38873
16,"Roberts Bogomols",6,1907,1148,39632,"",10,4,2,38873
17,"Jānis Nīkrencis",5,2031,1283,39621,"",10,4,2,38873
18,"Normunds Aizpurs",11,1866,1213,39526,"",10,4,2,38873
19,"Andrejs Burvis",27,1768,1120,39521,"",10,4,2,38873
20,"Inita Sokolova",12,1813,1168,39518,"",10,4,2,38873
21,"Jurijs Kovrigins",18,1842,1199,39516,"",10,4,2,38873
22,"Vineta Sprugaine",30,1781,1201,39453,"",10,4,2,38873
23,"Jeļena Toca",23,1762,1249,39386,"",10,4,2,38873
24,"Astra Ozola",10,1773,1272,39374,"",10,4,2,38873
25,"Imants Jurevičius",19,1550,1096,39327,"",10,4,2,38873
26,"Gints Ritums",20,1619,1194,39298,"",10,4,2,38873
27,"Lauris Valainis",4,1677,1252,39298,"",10,4,2,38873
28,"Ivars Gavars",14,1636,1225,39284,"",10,4,2,38873
29,"Zigurds Beņķis",13,1623,1243,39253,"",10,4,2,38873
30,"Uldis Zommers",22,1535,1205,39203,"",10,4,2,38873
1,"Ivans Ribakovs",7,13985,2084,71182,ievēlēts,10,4,3,59281
2,"Jānis Tutins",1,12784,2703,69362,ievēlēts,10,4,3,59281
3,"Raimonds Rubiks",2,8086,2828,64539,ievēlēts,10,4,3,59281
4,"Vladimirs Nikonovs",15,7224,2178,64327,ievēlēts,10,4,3,59281
5,"Aleksandrs Jakimovs",4,6107,2292,63096,ievēlēts,10,4,3,59281
6,"Aleksejs Burunovs",3,7602,3978,62905,ievēlēts,10,4,3,59281
7,"Sergejs Fjodorovs",9,5789,2420,62650,ievēlēts,10,4,3,59281
8,"Dmitrijs Rodionovs",11,5088,2316,62053,ievēlēts,10,4,3,59281
9,"Jeļena Lazareva",18,4986,2415,61852,"",10,4,3,59281
10,"Jānis Krišāns",6,4561,2668,61174,"",10,4,3,59281
11,"Marks Dubovskis",13,4346,2496,61131,"",10,4,3,59281
12,"Tatjana Mieriņa",17,4250,2534,60997,"",10,4,3,59281
13,"Pāvels Rjazancevs",14,4091,2623,60749,"",10,4,3,59281
14,"Biruta Višņevska",10,3943,2565,60659,"",10,4,3,59281
15,"Voldemārs Dibaņins",12,3958,2619,60620,"",10,4,3,59281
